StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q7_4_TEXT,Q8_1,Q8_2,Q8_3,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q7_4_TEXT - Topics,Q7_4_TEXT - Parent Topics
4/22/2021 12:49,4/22/2021 12:51,IP Address,73.152.155.47,100,129,TRUE,4/22/2021 12:51,R_82P2FE4T1su5qxj,,,,,37.25320435,-80.43470001,social,EN,Kroger,,Yes,,,,,,,,,,,,Most of the time,No,Once a week,No,Neither likely nor unlikely,A little,"Name,Department,Photo ID","Sat,Sun",> 3 miles,Morning,,
4/22/2021 13:11,4/22/2021 13:14,IP Address,98.239.48.165,100,198,TRUE,4/22/2021 13:14,R_6nw3xekJCdyQNbz,,,,,35.11279297,-89.90850067,social,EN,Kroger,,Yes,,,,,,,,,,,,Sometimes,No,It varies month to month,No,Neither likely nor unlikely,A little,Photo ID,"Sat,Sun",1 mile,Evening,,
4/23/2021 17:56,4/23/2021 18:00,IP Address,108.255.102.170,100,195,TRUE,4/23/2021 18:00,R_1KkJM049eRAz0uF,,,,,35.18409729,-89.8588028,anonymous,EN,Kroger,,Yes,,,,,,,,,,,,Sometimes,No,Once a week,Yes,Extremely likely,A moderate amount,"Name,Department,Photo ID","Sat,Sun",> 3 miles,Afternoon,,
4/23/2021 18:00,4/23/2021 18:02,IP Address,108.255.102.170,100,146,TRUE,4/23/2021 18:02,R_1oGWHPJlr6Wc93S,,,,,35.18409729,-89.8588028,anonymous,EN,Kroger,,No,Most of the times this happens to me,Probably yes,Neither likely nor unlikely,Might or might not,$1 - $2,,1,3,2,Definitely yes,May or may not be,,,,,,,,,,,,
4/24/2021 8:58,4/24/2021 9:06,IP Address,76.107.128.236,100,476,TRUE,4/24/2021 9:06,R_1r0o4R1NEg9PXYh,,,,,35.11279297,-89.90850067,social,EN,Other (Please mention below),Balaji supermarket,No,Sometimes this happened,Probably yes,Extremely likely,Definitely yes,$3 - $4,,1,2,3,Definitely yes,Definitely,,,,,,,,,,,,
4/24/2021 9:18,4/24/2021 9:21,IP Address,107.77.241.24,100,192,TRUE,4/24/2021 9:21,R_3Pt1HmsPQ3OZYra,,,,,38.25390625,-85.76000214,social,EN,Farmer's Market,,Yes,,,,,,,,,,,,Most of the time,No,It varies month to month,No,Extremely unlikely,None at all,"Name,Department",Fri,2 miles,Evening,,
4/24/2021 9:54,4/24/2021 9:57,IP Address,172.58.144.36,100,168,TRUE,4/24/2021 9:57,R_AEZ3lrXX5NHSzWV,,,,,36.167099,-86.78610229,social,EN,Kroger,,Yes,,,,,,,,,,,,Always,No,2-3 times in a month,Yes,Extremely unlikely,None at all,"Student ID,Name,Department,Photo ID,Other","Sat,Fri",1 mile,Afternoon,,
4/24/2021 9:57,4/24/2021 9:59,IP Address,108.88.174.55,100,141,TRUE,4/24/2021 9:59,R_BRftBzUq0vZMkE1,,,,,42.53160095,-83.52619934,social,EN,Kroger,,Yes,,,,,,,,,,,,Most of the time,No,Once a week,No,Somewhat unlikely,None at all,"Student ID,Name","Sat,Fri",2 miles,Afternoon,,
4/24/2021 10:06,4/24/2021 10:08,IP Address,70.122.120.8,100,95,TRUE,4/24/2021 10:08,R_1pn6CMURpyTyM2j,,,,,31.06820679,-97.39199829,social,EN,Walmart,,Yes,,,,,,,,,,,,Most of the time,No,2-3 times in a month,No,Somewhat likely,A lot,Student ID,"Sat,Fri",1 mile,Afternoon,,
4/24/2021 10:28,4/24/2021 10:31,IP Address,73.91.179.64,100,166,TRUE,4/24/2021 10:31,R_Ce5hvjCfu8SRs5j,,,,,35.11279297,-89.90850067,social,EN,Other (Please mention below),Sam's club,Yes,,,,,,,,,,,,Most of the time,No,It varies month to month,Yes,Neither likely nor unlikely,A moderate amount,Student ID,"Sat,Sun",> 3 miles,Evening,,
4/24/2021 10:38,4/24/2021 10:40,IP Address,76.107.154.128,100,141,TRUE,4/24/2021 10:40,R_sdRL9ghPvQhxlXb,,,,,35.10629272,-89.94100189,social,EN,Kroger,,Yes,,,,,,,,,,,,Always,Yes,2-3 times in a month,Yes,Extremely unlikely,None at all,Name,Sat,> 3 miles,Afternoon,,
4/24/2021 10:39,4/24/2021 10:43,IP Address,76.107.154.145,100,194,TRUE,4/24/2021 10:43,R_1YV11Wkf2UswZrP,,,,,35.10629272,-89.94100189,social,EN,Walmart,,Yes,,,,,,,,,,,,Most of the time,No,2-3 times in a month,No,Extremely unlikely,None at all,"Student ID,Name,Department,Photo ID","Sat,Wed,Fri",> 3 miles,Afternoon,,
4/24/2021 11:03,4/24/2021 11:05,IP Address,50.255.73.217,100,125,TRUE,4/24/2021 11:05,R_1rHOggbM7riLi8V,,,,,35.1566925,-89.92739868,social,EN,Kroger,,Yes,,,,,,,,,,,,Sometimes,No,Once in every two weeks,Yes,Somewhat unlikely,A moderate amount,"Student ID,Name,Department,Photo ID",Sun,> 3 miles,Noon,,
4/24/2021 10:59,4/24/2021 11:13,IP Address,70.182.8.214,100,865,TRUE,4/24/2021 11:13,R_3HAhpBXgVjaDwVc,,,,,30.18099976,-92.04769897,social,EN,Walmart,,Yes,,,,,,,,,,,,Always,Yes,Once a week,Yes,Extremely unlikely,None at all,"Student ID,Name,Photo ID","Sat,Mon,Fri",2 miles,Afternoon,,
4/24/2021 13:58,4/24/2021 14:01,IP Address,73.2.141.125,100,218,TRUE,4/24/2021 14:01,R_2U9j4QpmoiCKizf,,,,,35.12089539,-89.86889648,social,EN,Kroger,,Yes,,,,,,,,,,,,Most of the time,No,Once in every two weeks,No,Extremely unlikely,None at all,Student ID,Fri,3 miles,Evening,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,9,52.94117647,,3,50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5,29.41176471,,2,33.33333333,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5.882352941,,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,11.76470588,,1,16.66666667,,,,,,,,,,,,,,,,,,,,,
